City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,carepa,7.7585,-76.6525,303.88,78,95,1.34,CO,1689888045
84,kapoeta,4.7717,33.5903,296.76,78,100,1.33,SS,1689888045
85,kapuskasing,49.4169,-82.4331,296.2,56,75,1.54,CA,1689888045
86,qarazhal,48.0078,70.7903,297.37,30,43,2.58,KZ,1689888046
87,punta arenas,-53.15,-70.9167,274.3,69,100,7.49,CL,1689888046
88,el granada,37.5027,-122.4694,308.49,68,20,6.69,US,1689888046
89,la ronge,55.1001,-105.2842,299.29,41,40,3.09,CA,1689888047
90,yulinshi,38.2906,109.7494,293.48,76,46,0.8,CN,1689888047
91,puerto natales,-51.7236,-72.4875,273.89,97,100,3.64,CL,1689888048
92,iskateley,67.6803,53.1512,284.69,91,100,6.3,RU,1689888048
93,jahanian shah,31.8055,72.2771,306.6,55,7,1.47,PK,1689888048
94,nagqu,31.5,92.0,273.91,74,0,1.25,CN,1689888048
95,ribeira grande,38.5167,-28.7,295.37,88,40,2.57,PT,1689888049
96,waingapu,-9.6567,120.2641,294.95,83,0,3.01,ID,1689888049
97,tazovsky,67.4667,78.7,290.29,75,57,4.34,RU,1689888049
98,sinabang,2.4803,96.3801,298.73,82,100,1.31,ID,1689888050
99,sierra grande,-41.606,-65.3557,286.62,46,100,8.1,AR,1689888012
100,isafjordur,66.0755,-23.124,284.6,72,41,1.06,IS,1689888050
101,rio grande,-32.035,-52.0986,288.21,93,100,4.41,BR,1689888051
102,mamit,23.9333,92.4833,294.74,98,98,1.12,IN,1689888051
103,rongelap,11.1635,166.8941,301.89,80,97,7.91,MH,1689888051
104,portland,45.5234,-122.6762,304.23,45,20,1.54,US,1689887548
105,keetmanshoop,-26.5833,18.1333,283.08,31,0,5.11,NA,1689888052
106,malabar,-33.9667,151.25,286.99,61,75,7.2,AU,1689888052
107,yellowknife,62.456,-114.3525,301.44,32,100,4.12,CA,1689888053
108,mae hong son,19.3003,97.9685,297.02,99,100,0.57,TH,1689888053
109,atafu village,-8.5421,-172.5159,301.47,77,20,4.93,TK,1689888053
110,puliyangudi,9.1667,77.4167,298.84,74,100,3.91,IN,1689888054
111,crane,31.3974,-102.3501,311.07,18,100,7.8,US,1689888054
112,georgetown,5.4112,100.3354,301.11,83,40,3.09,MY,1689888055
113,kone,-21.0595,164.8658,291.09,71,8,1.71,NC,1689888056
114,margaret river,-33.95,115.0667,287.78,69,40,9.12,AU,1689888056
115,nosy varika,-20.5833,48.5333,294.24,87,88,0.98,MG,1689888056
116,polyarnyy,69.1989,33.4478,281.74,89,100,6.42,RU,1689888057
117,chitradurga,14.2333,76.4,294.45,85,100,9.64,IN,1689888057
118,malazgirt,39.1427,42.5401,293.63,25,0,0.45,TR,1689888057
119,xining,36.6167,101.7667,282.16,81,0,1.16,CN,1689888059
120,jurilovca,44.7667,28.8667,294.28,80,97,3.06,RO,1689888059
121,puerto ayora,-0.7393,-90.3518,304.13,90,54,5.81,EC,1689888059
122,yung shue wan,22.2333,114.1167,301.9,84,100,1.6,HK,1689888060
123,hawaiian paradise park,19.5933,-154.9731,299.28,83,100,2.57,US,1689888060
124,khanty-mansiysk,61.0042,69.0019,292.21,77,0,2.0,RU,1689888060
125,kayangel,8.0823,134.7173,301.65,79,100,8.44,PW,1689888061
126,rediu,47.2167,27.5,293.11,83,0,2.68,RO,1689888061
127,ulsteinvik,62.3432,5.8487,287.46,90,100,0.45,NO,1689888061
128,flying fish cove,-10.4217,105.6791,296.97,78,75,5.66,CX,1689888062
129,fale old settlement,-9.3852,-171.2468,301.04,79,26,5.31,TK,1689888063
130,altamont,42.2068,-121.7372,306.92,27,0,3.13,US,1689888063
